# ratedPower, rotorDiameter, ratedQ, blade_mass, Vrated, I1, I2, I3, ratedT, extremeT
6.900000000000000000e+02 9.400000000000000000e+01 5.373979130502709886e+05 8.072247318521938723e+03 7.291887854333372054e+00 1.016521770853383467e+07 4.888192864021496847e+06 4.017523654872927815e+06 1.761603301351641421e+05 9.220832301206416741e+04
6.900000000000000000e+02 9.600000000000000000e+01 5.699799692047716817e+05 9.579867714390366018e+03 7.190499325428116428e+00 1.193488850952669233e+07 5.739182230812754482e+06 4.716937529536727816e+06 1.802005877295468526e+05 1.072800133627676405e+05
6.900000000000000000e+02 9.800000000000000000e+01 5.844878775473148562e+05 1.065510531438108046e+04 7.092437330843601728e+00 1.388108862177573703e+07 6.675060022457785904e+06 5.486119775531598367e+06 1.840954067948045849e+05 1.142654937935453927e+05
8.800000000000000000e+02 5.200000000000000000e+01 2.779873697448758758e+05 2.091636765934828873e+03 1.173465007907473101e+01 9.730532917416258715e+05 4.679164080284204101e+05 3.845726406569797546e+05 1.414356399771277793e+05 2.795005613843390893e+04
8.800000000000000000e+02 5.400000000000000000e+01 2.952446101825322257e+05 2.184622164767538834e+03 1.144302902286175083e+01 1.089435159807223361e+06 5.238814678325157147e+05 4.305693838019209215e+05 1.420785630537392572e+05 2.924181575671018800e+04
8.800000000000000000e+02 5.600000000000000000e+01 3.108052930414934526e+05 2.291030962635306878e+03 1.116890372845785784e+01 1.222496910642714938e+06 5.878674560875641182e+05 4.831583933901374694e+05 1.436429024950982130e+05 3.061337942162146282e+04
8.800000000000000000e+02 5.800000000000000000e+01 3.252124730360376998e+05 2.405904847193887235e+03 1.091084222037883400e+01 1.370293721011501737e+06 6.589391571061590221e+05 5.415710313479930628e+05 1.457926583309662528e+05 3.204817406094507533e+04
8.800000000000000000e+02 6.000000000000000000e+01 3.388886919717431301e+05 2.529571966784468259e+03 1.066685120020768984e+01 1.534865540543180425e+06 7.380775304219052196e+05 6.066135318483941955e+05 1.483579410578904790e+05 3.353973151508631418e+04
8.800000000000000000e+02 6.200000000000000000e+01 3.500721106051034876e+05 2.661055027381436048e+03 1.043618435681989354e+01 1.709159665725763189e+06 8.218911115361708216e+05 6.754985071537982440e+05 1.515233267113189795e+05 3.520219829284787556e+04
8.800000000000000000e+02 6.400000000000000000e+01 3.633142943153582746e+05 2.799640591164589296e+03 1.021768343901108800e+01 1.913102397712186910e+06 9.199619483592882752e+05 7.561012815840021940e+05 1.545640415638212580e+05 3.673792742156737950e+04
8.800000000000000000e+02 6.600000000000000000e+01 3.755065904757816461e+05 2.948634832623058628e+03 1.001014688910171557e+01 2.136456984803859610e+06 1.027367449163408019e+06 8.443760596354204463e+05 1.579414500333148753e+05 3.839274817717539554e+04
8.800000000000000000e+02 6.800000000000000000e+01 3.865153697803753894e+05 3.103066965194007935e+03 9.813898126415949719e+00 2.376826787451983895e+06 1.142955131367637543e+06 9.393756352220077533e+05 1.615817113303571823e+05 4.012456780877452547e+04
8.800000000000000000e+02 7.000000000000000000e+01 3.962037632751046331e+05 3.278217299839405314e+03 9.625091406924941140e+00 2.648781404256516136e+06 1.273731141810148256e+06 1.046858242815042613e+06 1.657884722555043409e+05 4.202287836845055426e+04
8.800000000000000000e+02 7.200000000000000000e+01 4.022551168333952664e+05 3.468188504277633911e+03 9.446063698229981043e+00 2.939153254050492775e+06 1.413363527930520242e+06 1.161619756902158959e+06 1.708100971546639630e+05 4.414614843748450949e+04
8.800000000000000000e+02 7.400000000000000000e+01 4.139504618849940598e+05 3.686720993018600439e+03 9.275317014662597614e+00 3.267226096144916955e+06 1.571125355722845998e+06 1.291281554753200384e+06 1.743740337286212016e+05 4.652717276615104493e+04
8.800000000000000000e+02 7.600000000000000000e+01 4.272671636616906617e+05 3.932111910774978696e+03 9.111592935547060179e+00 3.635622832078810316e+06 1.748277911364529748e+06 1.436880266303654993e+06 1.775854375772365311e+05 4.913992794907696225e+04
8.800000000000000000e+02 7.800000000000000000e+01 4.952883485643089516e+05 3.717433417782957804e+03 8.955151188318273725e+00 3.517093559496403672e+06 1.691280219723496819e+06 1.390034820387142245e+06 1.872159634441183298e+05 4.459108894819797570e+04
8.800000000000000000e+02 8.000000000000000000e+01 4.635370672385986545e+05 4.521054307004491420e+03 8.805311693181746335e+00 4.563307736634295434e+06 2.194377823883042671e+06 1.803522295543356566e+06 1.839041055422261124e+05 5.531344637056544889e+04
8.800000000000000000e+02 8.200000000000000000e+01 4.840142778226692462e+05 4.848323821326997859e+03 8.661513299630367868e+00 5.104660292980397120e+06 2.454700404149007984e+06 2.017477054123739712e+06 1.869782978442078456e+05 5.878314852975299436e+04
8.800000000000000000e+02 8.400000000000000000e+01 5.045823149109829683e+05 5.171496916002174657e+03 8.523491207193114150e+00 5.680450943078913726e+06 2.731583381738262251e+06 2.245042525258061476e+06 1.899419003672950494e+05 6.219088642042352149e+04
